date,channel,region,visitors,ad_spend,discount,competitor_index,revenue
2026-01-01,search,north,1200,820,0.00,0.88,4703
2026-01-02,social,south,1230,910,0.05,0.91,5277
2026-01-03,email,west,1260,1000,0.10,0.94,6880
2026-01-04,partner,north,1290,1090,0.15,0.97,7613
2026-01-05,search,south,1390,1040,0.00,1.00,5645
2026-01-06,social,west,1420,1130,0.05,1.03,6559
2026-01-07,email,north,1450,1220,0.10,1.06,8112
2026-01-08,partner,south,1480,1310,0.15,1.09,7750
2026-01-09,search,west,1580,1260,0.00,1.12,6122
2026-01-10,social,north,1610,1350,0.05,0.88,7498
2026-01-11,email,south,1640,1440,0.10,0.91,8762
2026-01-12,partner,west,1670,925,0.15,0.94,8504
2026-01-13,search,north,1770,875,0.00,0.97,6826
2026-01-14,social,south,1800,965,0.05,1.00,7400
2026-01-15,email,west,1830,1055,0.10,1.03,8198
2026-01-16,partner,north,1860,1145,0.15,1.06,8931
2026-01-17,search,south,1960,1095,0.00,1.09,6963
2026-01-18,social,west,1990,1185,0.05,1.12,7877
2026-01-19,email,north,2020,1275,0.10,0.88,9943
2026-01-20,partner,south,2050,1365,0.15,0.91,10386
2026-01-21,search,west,2150,1315,0.00,0.94,8758
2026-01-22,social,north,2180,1405,0.05,0.97,8817
2026-01-23,email,south,2210,890,0.10,1.00,9039
2026-01-24,partner,west,2240,980,0.15,1.03,9823
2026-01-25,search,north,2340,930,0.00,1.06,8145
2026-01-26,social,south,2370,1020,0.05,1.09,8718
2026-01-27,email,west,2400,1110,0.10,1.12,10321
2026-01-28,partner,north,2430,1200,0.15,0.88,11568
2026-01-29,search,south,2530,1150,0.00,0.91,8794
2026-01-30,social,west,2560,1240,0.05,0.94,9708
2026-01-31,email,north,2590,1330,0.10,0.97,11261
2026-02-01,partner,south,2620,1420,0.15,1.00,11704
2026-02-02,search,west,2720,1370,0.00,1.03,10076
2026-02-03,social,north,2750,855,0.05,1.06,9899
2026-02-04,email,south,2780,945,0.10,1.09,11162
2026-02-05,partner,west,2810,1035,0.15,1.12,11141
2026-02-06,search,north,2910,985,0.00,0.88,9976
2026-02-07,social,south,2940,1075,0.05,0.91,10549
2026-02-08,email,west,2970,1165,0.10,0.94,12152
2026-02-09,partner,north,3000,1255,0.15,0.97,12886
2026-02-10,search,south,3100,1205,0.00,1.00,10918
